Time [s],Channel 0
0.000000000,0.000
0.004000000,0.000
0.008000000,0.000
0.012000000,0.000
0.016000000,0.000
0.020000000,0.000
0.024000000,0.000
0.028000000,0.000
0.032000000,0.000
0.036000000,-0.001
0.040000000,0.000
0.044000000,0.000
0.048000000,0.000
0.052000000,0.000
0.056000000,0.000
0.060000000,0.000
0.064000000,0.000
0.068000000,0.000
0.072000000,0.000
0.076000000,-0.001
0.080000000,0.000
0.084000000,0.000
0.088000000,0.000
0.092000000,-0.001
0.096000000,-0.001
0.100000000,-0.001
0.104000000,0.000
0.108000000,0.000
0.112000000,0.000
0.116000000,0.000
0.120000000,0.000
0.124000000,0.000
0.128000000,0.000
0.132000000,-0.001
0.136000000,-0.001
0.140000000,-0.001
0.144000000,-0.001
0.148000000,0.000
0.152000000,0.000
0.156000000,0.000
0.160000000,0.000
0.164000000,0.000
0.168000000,0.000
0.172000000,-0.001
0.176000000,0.000
0.180000000,0.000
0.184000000,0.000
0.188000000,0.000
0.192000000,0.000
0.196000000,-0.001
0.200000000,0.000
0.204000000,-0.001
0.208000000,0.000
0.212000000,-0.001
0.216000000,-0.001
0.220000000,0.000
0.224000000,0.000
0.228000000,0.000
0.232000000,0.000
0.236000000,-0.001
0.240000000,0.000
0.244000000,-0.001
0.248000000,0.000
0.252000000,0.000
0.256000000,-0.001
0.260000000,-0.001
0.264000000,0.000
0.268000000,0.000
0.272000000,-0.001
0.276000000,0.000
0.280000000,-0.001
0.284000000,-0.001
0.288000000,0.000
0.292000000,-0.001
0.296000000,0.000
0.300000000,0.000
0.304000000,0.000
0.308000000,0.000
0.312000000,0.000
0.316000000,-0.001
0.320000000,-0.001
0.324000000,-0.001
0.328000000,-0.001
0.332000000,-0.001
0.336000000,-0.001
0.340000000,0.000
0.344000000,0.000
0.348000000,-0.001
0.352000000,0.000
0.356000000,-0.001
0.360000000,0.000
0.364000000,0.000
0.368000000,-0.001
0.372000000,-0.001
0.376000000,-0.001
0.380000000,0.000
0.384000000,-0.001
0.388000000,-0.001
0.392000000,-0.001
0.396000000,-0.001
0.400000000,0.000
0.404000000,0.000
0.408000000,-0.001
0.412000000,-0.001
0.416000000,0.000
0.420000000,0.000
0.424000000,0.000
0.428000000,0.000
0.432000000,0.000
0.436000000,0.000
0.440000000,0.000
0.444000000,0.000
0.448000000,0.000
0.452000000,0.000
0.456000000,-0.001
0.460000000,-0.001
0.464000000,0.000
0.468000000,0.000
0.472000000,0.000
0.476000000,-0.001
0.480000000,-0.001
0.484000000,0.000
0.488000000,0.000
0.492000000,0.000
0.496000000,0.000
0.500000000,-0.001
0.504000000,0.000
0.508000000,0.000
0.512000000,0.000
0.516000000,0.000
0.520000000,0.000
0.524000000,0.000
0.528000000,-0.001
0.532000000,-0.001
0.536000000,-0.001
0.540000000,0.000
0.544000000,0.000
0.548000000,0.000
0.552000000,0.000
0.556000000,-0.001
0.560000000,-0.001
0.564000000,-0.001
0.568000000,0.000
0.572000000,-0.001
0.576000000,0.000
0.580000000,0.000
0.584000000,0.000
0.588000000,-0.001
0.592000000,0.000
0.596000000,0.000
0.600000000,0.000
0.604000000,0.000
0.608000000,0.000
0.612000000,0.000
0.616000000,-0.001
0.620000000,-0.001
0.624000000,-0.001
0.628000000,-0.001
0.632000000,0.000
0.636000000,0.000
0.640000000,0.000
0.644000000,-0.001
0.648000000,-0.001
0.652000000,0.000
0.656000000,-0.001
0.660000000,-0.001
0.664000000,-0.001
0.668000000,-0.001
0.672000000,-0.001
0.676000000,-0.001
0.680000000,0.000
0.684000000,-0.001
0.688000000,0.000
0.692000000,0.000
0.696000000,0.000
0.700000000,0.000
0.704000000,0.000
0.708000000,-0.001
0.712000000,0.000
0.716000000,-0.001
0.720000000,-0.001
0.724000000,-0.001
0.728000000,0.000
0.732000000,0.000
0.736000000,0.000
0.740000000,0.000
0.744000000,0.000
0.748000000,-0.001
0.752000000,0.000
0.756000000,-0.001
0.760000000,-0.001
0.764000000,0.000
0.768000000,0.000
0.772000000,-0.001
0.776000000,-0.001
0.780000000,-0.001
0.784000000,-0.001
0.788000000,0.000
0.792000000,0.000
0.796000000,0.000
0.800000000,0.000
0.804000000,0.000
0.808000000,0.000
0.812000000,0.000
0.816000000,0.000
0.820000000,0.000
0.824000000,0.000
0.828000000,-0.001
0.832000000,0.000
0.836000000,0.000
0.840000000,-0.001
0.844000000,-0.001
0.848000000,0.000
0.852000000,-0.001
0.856000000,-0.001
0.860000000,0.000
0.864000000,0.000
0.868000000,0.000
0.872000000,0.000
0.876000000,0.000
0.880000000,0.000
0.884000000,0.000
0.888000000,0.000
0.892000000,-0.001
0.896000000,-0.001
0.900000000,-0.001
0.904000000,0.000
0.908000000,0.000
0.912000000,-0.001
0.916000000,0.000
0.920000000,0.000
0.924000000,0.000
0.928000000,-0.001
0.932000000,0.000
0.936000000,0.000
0.940000000,0.000
0.944000000,0.000
0.948000000,-0.001
0.952000000,0.000
0.956000000,0.000
0.960000000,0.000
0.964000000,0.000
0.968000000,0.000
0.972000000,-0.001
0.976000000,-0.001
0.980000000,0.000
0.984000000,-0.001
0.988000000,-0.001
0.992000000,-0.001
0.996000000,0.000
1.000000000,-0.001
1.004000000,0.000
1.008000000,0.000
1.012000000,0.000
1.016000000,0.000
1.020000000,0.000
1.024000000,-0.001
1.028000000,-0.001
1.032000000,0.000
1.036000000,0.000
1.040000000,0.000
1.044000000,0.000
1.048000000,0.000
1.052000000,0.000
1.056000000,-0.001
1.060000000,-0.001
1.064000000,0.000
1.068000000,0.000
1.072000000,0.000
1.076000000,0.000
1.080000000,0.000
1.084000000,0.000
1.088000000,0.000
1.092000000,0.000
1.096000000,0.000
1.100000000,0.000
1.104000000,0.000
1.108000000,0.000
1.112000000,0.000
1.116000000,0.000
1.120000000,0.000
1.124000000,0.000
1.128000000,0.000
1.132000000,0.000
1.136000000,0.000
1.140000000,0.000
1.144000000,0.000
1.148000000,0.000
1.152000000,-0.001
1.156000000,-0.001
1.160000000,0.000
1.164000000,-0.001
1.168000000,-0.001
1.172000000,-0.001
1.176000000,0.000
1.180000000,-0.001
1.184000000,0.000
1.188000000,0.000
1.192000000,0.000
1.196000000,0.000
1.200000000,0.000
1.204000000,0.000
1.208000000,0.000
1.212000000,0.000
1.216000000,0.000
1.220000000,0.000
1.224000000,0.000
1.228000000,0.000
1.232000000,0.000
1.236000000,0.000
1.240000000,-0.001
1.244000000,-0.001
1.248000000,-0.001
1.252000000,-0.001
1.256000000,-0.001
1.260000000,-0.001
1.264000000,0.000
1.268000000,-0.001
1.272000000,-0.001
1.276000000,0.000
1.280000000,0.000
1.284000000,0.000
1.288000000,-0.001
1.292000000,-0.001
1.296000000,-0.001
1.300000000,0.000
1.304000000,0.000
1.308000000,0.000
1.312000000,0.000
1.316000000,-0.001
1.320000000,-0.001
1.324000000,-0.001
1.328000000,0.000
1.332000000,0.000
1.336000000,-0.001
1.340000000,-0.001
1.344000000,0.000
1.348000000,-0.001
1.352000000,0.000
1.356000000,-0.001
1.360000000,-0.001
1.364000000,0.000
1.368000000,-0.001
1.372000000,-0.001
1.376000000,-0.001
1.380000000,-0.001
1.384000000,-0.001
1.388000000,-0.001
1.392000000,-0.001
1.396000000,-0.001
1.400000000,0.000
1.404000000,0.000
1.408000000,0.000
1.412000000,-0.001
1.416000000,0.000
1.420000000,-0.001
1.424000000,-0.001
1.428000000,-0.001
1.432000000,0.000
1.436000000,0.000
1.440000000,0.000
1.444000000,-0.001
1.448000000,0.000
1.452000000,0.000
1.456000000,-0.001
1.460000000,0.000
1.464000000,0.000
1.468000000,0.000
1.472000000,-0.001
1.476000000,0.000
1.480000000,0.000
1.484000000,0.000
1.488000000,0.000
1.492000000,-0.001
1.496000000,0.000
1.500000000,-0.001
1.504000000,0.000
1.508000000,0.000
1.512000000,0.000
1.516000000,-0.001
1.520000000,-0.001
1.524000000,-0.001
1.528000000,-0.001
1.532000000,0.000
1.536000000,0.000
1.540000000,0.000
1.544000000,-0.001
1.548000000,-0.001
1.552000000,0.000
1.556000000,-0.001
1.560000000,-0.001
1.564000000,-0.001
1.568000000,0.000
1.572000000,-0.001
1.576000000,-0.001
1.580000000,-0.001
1.584000000,-0.001
1.588000000,0.000
1.592000000,-0.001
1.596000000,-0.001
1.600000000,0.000
1.604000000,0.000
1.608000000,0.000
1.612000000,0.000
1.616000000,0.000
1.620000000,-0.001
1.624000000,-0.001
1.628000000,-0.001
1.632000000,-0.001
1.636000000,0.000
1.640000000,-0.001
1.644000000,0.000
1.648000000,-0.001
1.652000000,0.000
1.656000000,-0.001
1.660000000,-0.001
1.664000000,0.000
1.668000000,0.000
1.672000000,-0.001
1.676000000,0.000
1.680000000,-0.001
1.684000000,-0.001
1.688000000,0.000
1.692000000,0.000
1.696000000,0.000
1.700000000,-0.001
1.704000000,-0.001
1.708000000,0.000
1.712000000,0.000
1.716000000,0.000
1.720000000,-0.001
1.724000000,-0.001
1.728000000,0.000
1.732000000,-0.001
1.736000000,0.000
1.740000000,0.000
1.744000000,0.000
1.748000000,-0.001
1.752000000,-0.001
1.756000000,0.000
1.760000000,0.000
1.764000000,-0.001
1.768000000,0.000
1.772000000,-0.001
1.776000000,-0.001
1.780000000,-0.001
1.784000000,-0.001
1.788000000,0.000
1.792000000,0.000
1.796000000,0.000
1.800000000,-0.001
1.804000000,0.000
1.808000000,-0.001
1.812000000,-0.001
1.816000000,-0.001
1.820000000,0.000
1.824000000,0.000
1.828000000,0.000
1.832000000,-0.001
1.836000000,-0.001
1.840000000,0.000
1.844000000,0.000
1.848000000,0.000
1.852000000,0.000
1.856000000,0.000
1.860000000,0.000
1.864000000,0.000
1.868000000,0.000
1.872000000,0.000
1.876000000,0.000
1.880000000,-0.001
1.884000000,-0.001
1.888000000,-0.001
1.892000000,-0.001
1.896000000,0.000
1.900000000,0.000
1.904000000,0.000
1.908000000,0.000
1.912000000,0.000
1.916000000,-0.001
1.920000000,-0.001
1.924000000,0.000
1.928000000,-0.001
1.932000000,0.000
1.936000000,0.000
1.940000000,-0.001
1.944000000,0.000
1.948000000,0.000
1.952000000,0.000
1.956000000,0.000
1.960000000,0.000
1.964000000,-0.001
1.968000000,0.000
1.972000000,-0.001
1.976000000,0.000
1.980000000,-0.001
1.984000000,-0.001
1.988000000,0.000
1.992000000,0.000
1.996000000,0.000
2.000000000,0.000
2.004000000,0.000
2.008000000,0.000
2.012000000,0.000
2.016000000,0.000
2.020000000,0.000
2.024000000,0.000
2.028000000,0.000
2.032000000,-0.001
2.036000000,0.000
2.040000000,-0.001
2.044000000,0.000
2.048000000,-0.001
2.052000000,0.000
2.056000000,0.000
